sample_id,sample_name,seed,offset_std,noise_std,m,k,spatial_tau,feature_tau,lambda_feat,nearest_mse,gaussian_mse,feature_mse,nearest_acc,true_in_knn_acc,true_in_feat_knn_acc,gaussian_w_max,feature_w_max,gaussian_ratio,feature_ratio,feature_vs_gaussian_ratio
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,0,0.002,0.001,512,512,0.001,0.01,10.0,23705.791015625,21359.44921875,8538.630859375,0.2265625,0.861328125,0.861328125,0.023776346817612648,0.6111104488372803,0.9010224212586505,0.3601917714429779,0.39975894377835924
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,0,0.002,0.005,512,512,0.001,0.01,10.0,23705.78125,21359.4375,8538.626953125,0.2265625,0.861328125,0.861328125,0.023776346817612648,0.6112885475158691,0.9010222980944785,0.3601917550439305,0.39975898022244266
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,0,0.002,0.01,512,512,0.001,0.01,10.0,23705.76953125,21359.42578125,8538.6240234375,0.2265625,0.861328125,0.861328125,0.023776346817612648,0.6113068461418152,0.9010222491656749,0.3601918095163081,0.39975906238701336
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,0,0.002,0.05,512,512,0.001,0.01,10.0,23705.68359375,21359.32421875,8538.60546875,0.2265625,0.861328125,0.861328125,0.023776346817612648,0.6088546514511108,0.9010212312283364,0.3601923325679249,0.3997600945283886
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,1,0.002,0.0,512,512,0.001,0.01,10.0,14134.04296875,13464.462890625,5354.6611328125,0.248046875,0.900390625,0.900390625,0.02127019874751568,0.6199901700019836,0.9526264297055397,0.3788485109781763,0.39768843186019914
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,1,0.002,0.001,512,512,0.001,0.01,10.0,10858.740234375,10163.1103515625,4148.9091796875,0.22265625,0.90234375,0.90234375,0.02124948427081108,0.6140820384025574,0.9359382517863004,0.38208015756316693,0.4082322277500054
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,1,0.002,0.005,512,512,0.001,0.01,10.0,10858.7392578125,10163.107421875,4148.9091796875,0.22265625,0.90234375,0.90234375,0.02124948427081108,0.6138755679130554,0.9359380661583695,0.38208019192490494,0.4082323454298453
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,1,0.002,0.01,512,512,0.001,0.01,10.0,10858.73828125,10163.1044921875,4148.90966796875,0.22265625,0.90234375,0.90234375,0.02124948427081108,0.613689661026001,0.9359378805304052,0.3820802712533145,0.4082325111542508
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,1,0.002,0.05,512,512,0.001,0.01,10.0,10858.7294921875,10163.0771484375,4148.91064453125,0.22265625,0.90234375,0.90234375,0.02124948427081108,0.6109249591827393,0.9359361199438204,0.3820806704427305,0.40823370559271166
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,2,0.002,0.0,512,512,0.001,0.01,10.0,15999.048828125,14648.060546875,4438.5869140625,0.27734375,0.86328125,0.86328125,0.031190156936645508,0.6468876600265503,0.9155582125060413,0.2774281747462282,0.3030153309278492
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,2,0.002,0.001,512,512,0.001,0.01,10.0,21263.8828125,20292.009765625,8932.3984375,0.263671875,0.849609375,0.849609375,0.03127070888876915,0.6578441858291626,0.9542946574976569,0.4200737238943528,0.44019289073237244
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,2,0.002,0.005,512,512,0.001,0.01,10.0,21263.90625,20292.033203125,8932.4140625,0.263671875,0.849609375,0.849609375,0.03127070888876915,0.6579189300537109,0.9542947078749936,0.4200739956939944,0.4401931523118342
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,2,0.002,0.01,512,512,0.001,0.01,10.0,21263.9375,20292.0625,8932.4267578125,0.263671875,0.849609375,0.849609375,0.03127070888876915,0.6575627326965332,0.9542946831930822,0.4200739753779139,0.44019314240789964
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,2,0.002,0.05,512,512,0.001,0.01,10.0,21264.173828125,20292.298828125,8932.5712890625,0.263671875,0.849609375,0.849609375,0.03127070888876915,0.6540799140930176,0.954295191157883,0.42007610365035014,0.4401951382995608
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,0,0.002,0.0,512,512,0.001,0.01,10.0,3644.954833984375,4090.44921875,896.3218383789062,0.203125,0.91796875,0.91796875,0.0225222110748291,0.5798147916793823,1.122222196174279,0.2459075295040401,0.21912552642636476
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,0,0.002,0.001,512,512,0.001,0.01,10.0,3832.20166015625,4025.109130859375,786.5069580078125,0.19921875,0.892578125,0.892578125,0.022510670125484467,0.57848060131073,1.0503385489100956,0.20523631785487623,0.19540015747098277
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,0,0.002,0.005,512,512,0.001,0.01,10.0,3832.2158203125,4025.1181640625,786.5068969726562,0.19921875,0.892578125,0.892578125,0.022510670125484467,0.5784155130386353,1.0503370250515456,0.20523554357346194,0.19539970378878144
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,0,0.002,0.01,512,512,0.001,0.01,10.0,3832.2333984375,4025.128662109375,786.50634765625,0.19921875,0.892578125,0.892578125,0.022510670125484467,0.5783177614212036,1.0503349466529162,0.20523445883461294,0.1953990576897684
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,0,0.002,0.05,512,512,0.001,0.01,10.0,3832.376220703125,4025.216552734375,786.5040893554688,0.19921875,0.892578125,0.892578125,0.022510670125484467,0.5774591565132141,1.0503187372339633,0.20522622103400096,0.19539423011196444
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,1,0.002,0.0,512,512,0.001,0.01,10.0,5630.73828125,6224.06103515625,2244.918212890625,0.1875,0.884765625,0.884765625,0.019999545067548752,0.5842031836509705,1.1053721065107887,0.39868985215776404,0.3606838365193294
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,1,0.002,0.001,512,512,0.001,0.01,10.0,4618.716796875,4746.2490234375,1794.098388671875,0.205078125,0.884765625,0.884765625,0.019997037947177887,0.5954166650772095,1.0276120472787567,0.38844087385607895,0.37800342540233767
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,1,0.002,0.005,512,512,0.001,0.01,10.0,4618.7236328125,4746.25830078125,1794.0977783203125,0.205078125,0.884765625,0.884765625,0.019997037947177887,0.5954413414001465,1.027612535000517,0.3884401667972986,0.37800255793600573
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,1,0.002,0.01,512,512,0.001,0.01,10.0,4618.73046875,4746.26953125,1794.09521484375,0.205078125,0.884765625,0.884765625,0.019997037947177887,0.5954644680023193,1.0276134455913633,0.38843903687008147,0.37800112341518216
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,1,0.002,0.05,512,512,0.001,0.01,10.0,4618.79541015625,4746.365234375,1794.0850830078125,0.205078125,0.884765625,0.884765625,0.019997037947177887,0.5950487852096558,1.0276197174566852,0.3884313817110856,0.37799136695472974
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,2,0.002,0.0,512,512,0.001,0.01,10.0,6475.61328125,6556.8671875,2333.51220703125,0.193359375,0.8828125,0.8828125,0.02204410918056965,0.5885916352272034,1.0125476773737043,0.36035385463611375,0.355888283276479
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,2,0.002,0.001,512,512,0.001,0.01,10.0,5996.8466796875,6069.74658203125,1697.3924560546875,0.181640625,0.85546875,0.85546875,0.022032758221030235,0.5776682496070862,1.0121563725467047,0.28304749924724437,0.2796479940496383
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,2,0.002,0.005,512,512,0.001,0.01,10.0,5996.8671875,6069.7666015625,1697.404541015625,0.181640625,0.85546875,0.85546875,0.022032758221030235,0.5776517391204834,1.012156249552175,0.2830485465067047,0.27964906271332957
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,2,0.002,0.01,512,512,0.001,0.01,10.0,5996.8935546875,6069.791015625,1697.419921875,0.181640625,0.85546875,0.85546875,0.022032758221030235,0.5776189565658569,1.0121558704140279,0.2830498668011547,0.2796504719034743
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,2,0.002,0.05,512,512,0.001,0.01,10.0,5997.1025390625,6069.99072265625,1697.5452880859375,0.181640625,0.85546875,0.85546875,0.022032758221030235,0.5767090320587158,1.0121538998406294,0.28306090766813985,0.27966192464674566
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,0,0.002,0.0,512,512,0.001,0.01,10.0,8430.642578125,8329.09765625,3470.037109375,0.220703125,0.888671875,0.888671875,0.01874329149723053,0.6109877228736877,0.9879552571545995,0.4115981762029279,0.41661621133366694
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,0,0.002,0.001,512,512,0.001,0.01,10.0,11697.99609375,11674.56640625,5832.23583984375,0.208984375,0.876953125,0.876953125,0.018696391955018044,0.6072362661361694,0.997997119565417,0.4985670873116289,0.49956766160681154
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,0,0.002,0.005,512,512,0.001,0.01,10.0,11697.9931640625,11674.5625,5832.2373046875,0.208984375,0.876953125,0.876953125,0.018696391955018044,0.6071932911872864,0.997997035582609,0.49856733739636333,0.49956795423276035
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,0,0.002,0.01,512,512,0.001,0.01,10.0,11697.98828125,11674.55859375,5832.240234375,0.208984375,0.876953125,0.876953125,0.018696391955018044,0.6071152687072754,0.9979971182277936,0.4985677959451495,0.4995683723320642
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,0,0.002,0.05,512,512,0.001,0.01,10.0,11697.9580078125,11674.525390625,5832.263671875,0.208984375,0.876953125,0.876953125,0.018696391955018044,0.6063603758811951,0.997996862600135,0.49857108975599956,0.4995718007139276
