sample_id,sample_name,seed,offset_std,m,noise_std,k,spatial_tau,feature_tau,lambda_feat,nearest_mse,gaussian_mse,feature_mse,nearest_acc,true_in_knn_acc,true_in_feat_knn_acc,gaussian_w_max,feature_w_max,gaussian_ratio,feature_ratio,feature_vs_gaussian_ratio
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,1,0.0,512,0.0,512,0.001,0.01,10.0,19.608192443847656,711.8590087890625,0.002978092525154352,0.7109375,1.0,1.0,0.02006310597062111,0.6463392972946167,36.30416270278999,0.000151880013095688,4.183542651543261e-06
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,1,0.001,512,0.0,512,0.001,0.01,10.0,1662.34033203125,2262.341796875,445.89007568359375,0.283203125,0.9296875,0.9296875,0.020045574754476547,0.601098895072937,1.3609378015334532,0.26823031787886115,0.1970922679762656
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,1,0.002,512,0.0,512,0.001,0.01,10.0,5630.73828125,6224.06103515625,2244.918212890625,0.1875,0.884765625,0.884765625,0.019999545067548752,0.5842031836509705,1.1053721065107887,0.39868985215776404,0.3606838365193294
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,1,0.005,512,0.0,512,0.001,0.01,10.0,26778.0234375,27132.087890625,15302.2578125,0.07421875,0.79296875,0.79296875,0.019797686487436295,0.5445380806922913,1.0132222026749431,0.5714483687795525,0.5639911633113727
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,1,0.01,512,0.0,512,0.001,0.01,10.0,72929.8359375,75504.390625,43188.0546875,0.03515625,0.65625,0.65625,0.019356872886419296,0.5446569323539734,1.0353018028136847,0.5921863683405465,0.5719939506829177
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,2,0.0,512,0.0,512,0.001,0.01,10.0,14.93948745727539,759.9013671875,0.003921307157725096,0.75390625,1.0,1.0,0.022111857309937477,0.6538514494895935,50.86529034953171,0.00026247936342792375,5.160284383009331e-06
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,2,0.001,512,0.0,512,0.001,0.01,10.0,1832.58251953125,2297.4990234375,409.5126647949219,0.3046875,0.923828125,0.923828125,0.02209342271089554,0.6118912100791931,1.2536947171280284,0.2234620599238662,0.17824280255066757
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,2,0.002,512,0.0,512,0.001,0.01,10.0,6475.61328125,6556.8671875,2333.51220703125,0.193359375,0.8828125,0.8828125,0.02204410918056965,0.5885916352272034,1.0125476773737043,0.36035385463611375,0.355888283276479
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,2,0.005,512,0.0,512,0.001,0.01,10.0,32911.48828125,31362.3515625,16654.79296875,0.07421875,0.75,0.75,0.021760543808341026,0.5576935410499573,0.9529302137444645,0.5060480044665254,0.5310441385608391
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,2,0.01,512,0.0,512,0.001,0.01,10.0,97514.25,96009.65625,60871.5,0.0390625,0.623046875,0.623046875,0.021383211016654968,0.5356820225715637,0.9845705243079858,0.6242318430383251,0.6340143520720084
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,0,0.0,512,0.0,512,0.001,0.01,10.0,23.418846130371094,399.04669189453125,0.005941446404904127,0.720703125,1.0,1.0,0.018782544881105423,0.6661519408226013,17.03955394185802,0.000253703635603074,1.4889100763362455e-05
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,0,0.001,512,0.0,512,0.001,0.01,10.0,2430.97119140625,2581.510009765625,631.1832275390625,0.326171875,0.923828125,0.923828125,0.018772399052977562,0.6263883113861084,1.0619253814654597,0.2596424136042272,0.24450156116046498
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,0,0.002,512,0.0,512,0.001,0.01,10.0,8430.642578125,8329.09765625,3470.037109375,0.220703125,0.888671875,0.888671875,0.01874329149723053,0.6109877228736877,0.9879552571545995,0.4115981762029279,0.41661621133366694
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,0,0.005,512,0.0,512,0.001,0.01,10.0,39251.828125,37690.140625,22571.927734375,0.095703125,0.7734375,0.7734375,0.018607046455144882,0.5796566009521484,0.9602136365463869,0.5750541774129151,0.5988814942070808
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,0,0.01,512,0.0,512,0.001,0.01,10.0,132060.84375,129355.65625,94847.125,0.046875,0.64453125,0.64453125,0.0183301642537117,0.5593457221984863,0.9795155973323849,0.7182077768604291,0.7332275043055955
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,1,0.0,512,0.0,512,0.001,0.01,10.0,20.873464584350586,592.7091064453125,0.004038065206259489,0.73828125,1.0,1.0,0.01892823912203312,0.6448296308517456,28.39533916615275,0.000193454478529019,6.81289550362606e-06
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,1,0.001,512,0.0,512,0.001,0.01,10.0,2501.95263671875,2709.01953125,587.416259765625,0.310546875,0.927734375,0.927734375,0.01890324056148529,0.6066159605979919,1.0827621160737932,0.23478312544557484,0.21683721840668255
